animal_id,body_weight_g,blood_glucose_mmolL,litter_number,locomotor_activity,body_temp_C,organ_weight_pct,latency_s
1,21.4633,7.6789,1.0,1224.1643,37.3923,0.6066,22.2641
2,20.5587,7.0676,2.0,1649.1482,37.3786,0.6795,20.4769
3,24.8479,7.2891,3.0,1542.7277,37.4662,0.605,24.9096
4,26.3869,7.6313,1.0,1707.1456,37.1606,0.6661,34.974
5,22.6582,5.5428,2.0,1371.8242,37.0307,0.784,16.3799
6,20.4795,6.6803,1.0,1547.5619,37.1681,0.5273,24.4028
7,20.5266,6.5296,2.0,1687.6771,36.5251,0.7434,42.7929
8,24.9518,6.3611,2.0,1407.196,36.6212,0.7238,24.1626
9,25.2298,6.7249,3.0,1637.0326,36.6709,0.6406,29.263
10,24.6295,8.4949,1.0,1301.4222,36.8011,0.5554,28.2469
11,21.0035,6.1342,1.0,1391.0838,37.3599,0.7072,32.0542
12,23.6965,7.9683,2.0,1385.4786,36.8378,0.6471,24.8454
13,23.3501,5.3171,3.0,1141.2481,37.0487,0.7233,20.5941
14,23.6561,6.6651,3.0,1646.0917,37.7197,0.7022,48.6101
15,25.6143,7.1628,1.0,1359.1793,37.0575,0.8602,47.4002
16,23.6708,7.5862,1.0,1503.7482,37.495,0.6761,19.2154
